Subclass,Overall Freq,Norm Class Freq,Norm Class Pop,Class Rating,Norm Subclass Frac,Subclass Rating,Combined Rating,Rating
Champion,167,533,0.107200322,5,0.319311663,5,5,5
Life Domain,157,506,0.101769912,5,0.31027668,5,5,5
Battle Master,144,523,0.105189059,5,0.275334608,5,5,5
Assassin,134,443,0.089098954,4,0.30248307,5,4.5,5
Eldritch Knight,91,523,0.105189059,5,0.173996176,4,4.5,5
Hexblade,137,392,0.078841512,3,0.349489796,5,4,5
Wild Magic,98,344,0.06918745,3,0.284883721,5,4,5
Draconic,82,344,0.06918745,3,0.238372093,5,4,5
Great Old One,81,392,0.078841512,3,0.206632653,5,4,5
Arcane Trickster,77,443,0.089098954,4,0.173814898,4,4,5
College of Lore,87,502,0.100965406,4,0.173306773,4,4,5
Tempest Domain,61,506,0.101769912,5,0.12055336,3,4,5
Path of the Berserker,101,916,0.184231698,5,0.110262009,3,4,5
Path of the Totem Warrior,99,916,0.184231698,5,0.108078603,3,4,5
War Domain,50,506,0.101769912,5,0.098814229,3,4,5
Oath of Vengeance,63,276,0.055510861,2,0.22826087,5,3.5,5
Oath of Devotion,59,276,0.055510861,2,0.213768116,5,3.5,4
Evocation,58,285,0.057320998,3,0.203508772,4,3.5,4
Divine Soul,64,344,0.06918745,3,0.186046512,4,3.5,4
Shadow Sorcerer,59,344,0.06918745,3,0.171511628,4,3.5,4
Fiend,63,392,0.078841512,3,0.160714286,4,3.5,4
Swashbuckler,71,443,0.089098954,3,0.16027088,4,3.5,4
Thief,62,443,0.089098954,4,0.139954853,3,3.5,4
College of Glamour,66,502,0.100965406,4,0.131474104,3,3.5,4
Forge Domain,53,506,0.101769912,4,0.104743083,3,3.5,4
Arcane Archer,49,523,0.105189059,5,0.093690249,2,3.5,4
Samurai,37,523,0.105189059,5,0.070745698,2,3.5,4
Hunter,85,152,0.030571199,1,0.559210526,5,3,4
Circle of the Moon,126,207,0.041633146,1,0.557522124,5,3,4
Beast Master,67,152,0.030571199,1,0.440789474,5,3,4
Way of the Open Hand,68,240,0.048270314,1,0.283333333,5,3,4
Gloom Stalker,43,152,0.030571199,1,0.282894737,5,3,4
Monster Slayer,38,152,0.030571199,1,0.25,5,3,3
Oath of the Ancients,52,276,0.055510861,2,0.188405797,4,3,3
Oath of Conquest,46,276,0.055510861,2,0.166666667,4,3,3
Divination,43,285,0.057320998,2,0.150877193,4,3,3
Celestial,50,392,0.078841512,3,0.12755102,3,3,3
Storm Sorcery,41,344,0.06918745,3,0.119186047,3,3,3
Archfey,43,392,0.078841512,3,0.109693878,3,3,3
Light Domain,44,506,0.101769912,4,0.086956522,2,3,3
College of Swords,38,502,0.100965406,4,0.075697211,2,3,3
College of Valor,35,502,0.100965406,4,0.069721116,2,3,3
College of Whispers,32,502,0.100965406,4,0.06374502,2,3,3
Path of the Ancestral Guardian,36,916,0.184231698,5,0.03930131,1,3,3
Purple Dragon Knight,20,523,0.105189059,5,0.038240918,1,3,3
Path of the Storm Herald,30,916,0.184231698,5,0.032751092,1,3,3
Path of the Zealot,29,916,0.184231698,5,0.031659389,1,3,3
Cavalier,15,523,0.105189059,5,0.028680688,1,3,3
Path of the Battlerager,21,916,0.184231698,5,0.022925764,1,3,2
Circle of the Land,40,226,0.045454545,1,0.17699115,4,2.5,2
Way of Shadow,41,240,0.048270314,1,0.170833333,4,2.5,2
Way of the Drunken Master,36,240,0.048270314,1,0.15,4,2.5,2
Way of the Kensei,34,240,0.048270314,1,0.141666667,4,2.5,2
Circle of the Shepherd,32,226,0.045454545,1,0.14159292,4,2.5,2
Necromancy,38,285,0.057320998,2,0.133333333,3,2.5,2
Abjuration,27,285,0.057320998,2,0.094736842,3,2.5,2
Scout,39,443,0.089098954,3,0.088036117,2,2.5,2
Inquisitive,33,443,0.089098954,3,0.074492099,2,2.5,2
Mastermind,27,443,0.089098954,3,0.060948081,2,2.5,2
Grave Domain,30,506,0.101769912,4,0.059288538,1,2.5,2
Trickery Domain,29,506,0.101769912,4,0.057312253,1,2.5,2
Knowledge Domain,27,506,0.101769912,4,0.053359684,1,2.5,2
Death Domain,25,506,0.101769912,4,0.049407115,1,2.5,2
Arcana Domain,16,506,0.101769912,4,0.031620553,1,2.5,2
Nature Domain,14,506,0.101769912,4,0.027667984,1,2.5,1
Circle of Dreams,28,226,0.045454545,1,0.123893805,3,2,1
Horizon Walker,18,152,0.030571199,1,0.118421053,3,2,1
Way of the Four Elements,25,240,0.048270314,1,0.104166667,3,2,1
Way of the Sun Soul,23,240,0.048270314,1,0.095833333,3,2,1
Conjuration,23,285,0.057320998,2,0.080701754,2,2,1
War Magic,22,285,0.057320998,2,0.077192982,2,2,1
Oath of Redemption,21,276,0.055510861,2,0.076086957,2,2,1
Illusion,21,285,0.057320998,2,0.073684211,2,2,1
Transmutation,20,285,0.057320998,2,0.070175439,2,2,1
Oathbreaker,19,276,0.055510861,2,0.06884058,2,2,1
Enchantment,19,285,0.057320998,2,0.066666667,2,2,1
Undying,18,392,0.078841512,3,0.045918367,1,2,1
Oath of the Crown,16,276,0.055510861,2,0.057971014,1,1.5,1
Bladesinging,14,285,0.057320998,2,0.049122807,1,1.5,1
Way of the Long Death,13,240,0.048270314,1,0.054166667,1,1,1
